l1,l2,meeting_id
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
1600061192.0,619509.0405167628,160320
22287.0,2376.076808522822,160320
5679699.0,37505.92631838334,160320
24096.0,2442.7369895262977,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
1313.0,570.2446843241943,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
192126.0,6751.003925343252,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
7001690.0,41633.82828902478,160320
8083754.0,44828.51322540153,160320
9.0,3.872983346207417,160320
300327.0,8604.930389026978,160320
3078.0,875.6026496076859,160320
24175.0,2409.279767897452,160320
5950.0,1220.1712994493846,160320
9.0,3.872983346207417,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
15063.0,1924.2881800811438,160320
0.0,0.0,160320
0.0,0.0,160320
1050.0,510.05489900597956,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
166395.0,6180.829798659724,160320
110286.0,5276.275390841535,160320
0.0,0.0,160320
86418.0,4651.550064225903,160320
3838301.0,30937.413094827436,160320
0.0,0.0,160320
86085.0,4658.699281988483,160320
100836.0,5037.969829206999,160320
7797.0,1388.36054395103,160320
102881.0,5080.978744297205,160320
86076.0,4651.37850534656,160320
36.0,8.48528137423857,160320
211217.0,7307.18050960834,160320
110971.0,5264.664756658301,160320
72909.0,4291.296657188826,160320
0.0,0.0,160320
93753.0,4855.628795532048,160320
4584.0,1077.6530053778906,160320
10008.0,1584.433652760506,160320
70299.0,4189.301731792543,160320
10248.0,1585.5081204459345,160320
189714.0,6909.504902668497,160320
144549.0,6037.163655227511,160320
1605.0,622.3126224013137,160320
0.0,0.0,160320
11562.0,1701.3606319648989,160320
22311.0,2371.40021927974,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
4679008.0,34160.073594768495,160320
0.0,0.0,160320
0.0,0.0,160320
43818.0,3285.226932800838,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
3072.0,879.9056767631404,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
54678.0,3704.395497243781,160320
1545.0,619.7959341589778,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
6553217.0,40337.9863776069,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
111033.0,5294.600551505278,160320
185925.0,6563.601221890312,160320
0.0,0.0,160320
43476.0,2617.4285090523485,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
2310.0,764.0248687052012,160320
7746.0,1387.5258556149504,160320
0.0,0.0,160320
30856.0,2747.7459853487185,160320
0.0,0.0,160320
54807.0,3728.143103476582,160320
0.0,0.0,160320
0.0,0.0,160320
15.0,4.58257569495584,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
2586130.0,25238.04782466346,160320
0.0,0.0,160320
0.0,0.0,160320
74962.0,4308.968322000059,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
9.0,3.605551275463989,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
9999.0,1582.5172984836531,160320
269.0,254.04133521929063,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
0.0,0.0,160320
834.0,441.8053870201222,160320
3852.0,983.7987599097694,160320
21360.0,2327.953607785172,160320
0.0,0.0,160320
